feature,missing_ratio,mean,std,skew,kurtosis,outlier_ratio_iqr
X244,0.23292944747427388,0.043032002426894166,0.7644018191926596,-0.11165367660273184,-1.9771482924635568,0.0
X245,0.23292944747427388,1.6810599379162419,65.58914544147004,-0.029847738149041077,-1.59680031172081,0.0
X246,0.23292944747427388,3.2914777146854255,65.49746514487738,-0.07506088424776154,-1.5925525522166026,0.0
X247,0.23292944747427388,1.7314130585490282,64.30359357582435,-0.03246739312302021,-1.5701270064189266,0.0
X248,0.23292944747427388,10857.571389122551,23855.877165759237,3.6971210384023045,13.039256674612327,0.06117513510845692
X249,0.23292944747427388,29.554469108606654,38.891619625543015,1.362236247484564,0.6146708144204394,0.05440120425437406
X25,0.233447671692619,-0.0035859644518281336,0.0036173126504893227,-2.1664018076820475,8.14058582396644,0.03530094020679614
X250,0.23292944747427388,15.247406566205836,1137.0692041703999,0.18561016611565426,63.945601099643085,0.13331934950521926
X251,0.23292944747427388,23.143413966620457,1975.9742547275703,-23.55631874417475,1218.5143985926452,0.13765022332996077
X252,0.23292944747427388,1.7732236817964837,30.04542046177813,2.662425599102139,42.17188449264001,0.13329467216148855
X253,0.23292944747427388,1.516267394636489,26.268393392731706,2.5802458743262227,38.61810558261011,0.1370209510648274
X254,0.23292944747427388,0.006809261427159728,0.05598002168276997,1.1926284013937811,5.587126639820596,0.040446166374651434
X255,0.23292944747427388,4.475121356224587,2964.700631828727,85.17492936452163,28745.275372758133,0.14908817214914988
X256,0.23292944747427388,3.1097667981805657,390.73425356692337,32.07365455060101,13699.854525734969,0.1469535819164425
X257,0.23292944747427388,0.2722271683888049,0.03170857534358703,-0.13118392060135622,0.6335190612488772,0.00868642499321373
X258,0.23292944747427388,-0.0009688046357627155,0.10051406023660431,0.788099683701011,4.868967166946956,0.0380894800483676
X259,0.23292944747427388,-0.0016278258083708113,0.0664658390505828,0.7989030526565695,7.392700050863072,0.045048490980430865
X26,0.23417565333267526,-54330786928.850975,9650872482203.059,-180.4602252672711,33043.30743855634,0.014991486316412901
X260,0.23292944747427388,0.02008189792276411,0.11738217029139543,-0.40801740074894555,8.402770061733499,0.013338104286454606
X261,0.23292944747427388,0.5532550722515931,0.06560155665923437,-0.2643768195584042,-0.11606529160749313,0.003676924215877403
X262,0.23292944747427388,0.4964976099255036,0.01803767622658034,-0.2560905734790393,0.4670108739974994,0.0065765121042370995
X263,0.23292944747427388,0.00011849594838290511,0.0005988594879241968,-1.1356344580466697,5.619636419311984,0.045640747229968165
X264,0.23292944747427388,0.00014481419383837344,0.0009064275816328096,-2.7994288164145145,22.906820393140443,0.0515509710534758
